,Episode Name,Series Name,Season,Watch_Date,Watch_Time
80,"A Fox, a Rabbit, and a Cabbage",Fargo,1.0,2021-12-10,01:09:00
81,Full Boyle,Brooklyn Nine-Nine,1.0,2021-12-09,22:43:00
82,The Party,Brooklyn Nine-Nine,1.0,2021-12-09,03:06:00
83,Operation: Broken Feather,Brooklyn Nine-Nine,1.0,2021-12-09,02:57:00
84,Christmas,Brooklyn Nine-Nine,1.0,2021-12-08,03:33:00
85,The Heap,Fargo,1.0,2021-12-08,02:15:00
86,The Ebony Falcon,Brooklyn Nine-Nine,1.0,2021-12-08,00:41:00
87,The Bet,Brooklyn Nine-Nine,1.0,2021-12-08,00:14:00
88,Who Shaves the Barber?,Fargo,1.0,2021-12-07,03:43:00
89,Pontiac Bandit,Brooklyn Nine-Nine,1.0,2021-12-07,02:49:00
90,Buridan's Ass,Fargo,1.0,2021-12-07,01:16:00
91,Thanksgiving,Brooklyn Nine-Nine,1.0,2021-12-06,02:38:00
92,Episode 6,The Great Christmas Light Fight,9.0,2021-12-04,18:13:00
93,Sal's Pizza,Brooklyn Nine-Nine,1.0,2021-12-04,04:15:00
94,The Six Ungraspables,Fargo,1.0,2021-12-04,03:44:00
95,Old School,Brooklyn Nine-Nine,1.0,2021-12-04,02:07:00
96,A Saturday Night Live Thanksgiving,Saturday Night Live,47.0,2021-12-04,02:05:00
97,Group a Finale,The Masked Singer,6.0,2021-12-04,02:04:00
98,48 Hours,Brooklyn Nine-Nine,1.0,2021-12-04,01:17:00
99,Halloween,Brooklyn Nine-Nine,1.0,2021-12-03,23:22:00
100,Eating the Blame,Fargo,1.0,2021-12-03,04:27:00
101,The Vulture,Brooklyn Nine-Nine,1.0,2021-12-03,02:28:00
102,A Muddy Road,Fargo,1.0,2021-12-03,01:55:00
103,The Rooster Prince,Fargo,1.0,2021-12-02,03:22:00
104,The Crocodiles Dilemma,Fargo,1.0,2021-12-02,00:22:00
105,M.E. Time,Brooklyn Nine-Nine,1.0,2021-12-01,01:35:00
106,The Slump,Brooklyn Nine-Nine,1.0,2021-12-01,01:07:00
107,The Tagger,Brooklyn Nine-Nine,1.0,2021-12-01,00:36:00
108,Pilot,Brooklyn Nine-Nine,1.0,2021-11-30,02:12:00
109,"The Big House, Part 1",Brooklyn Nine-Nine,5.0,2021-11-29,04:01:00
110,Crime & Punishment,Brooklyn Nine-Nine,4.0,2021-11-29,01:39:00
111,The Bank Job,Brooklyn Nine-Nine,4.0,2021-11-29,00:38:00
112,The Slaughterhouse,Brooklyn Nine-Nine,4.0,2021-11-27,22:44:00
113,"Glen Godwin, Eugene Palmer, and Jennifer Settle",America's Most Wanted,1.0,2021-11-26,22:36:00
114,Episode 1,The Great Christmas Light Fight,5.0,2021-11-26,22:00:00
115,"Maurice Nesbitt, Josephine Overaker, and Frederick Arias",America's Most Wanted,1.0,2021-11-26,17:00:00
116,She Had a Bad Fall,Wild Crime,1.0,2021-11-26,05:19:00
